id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
900602693615028143,"Renovated Bay Park Dream - AC, W/D, Backyard",499662709,Coast Vacation Homes,,Bay Park,32.7817833,-117.1966726,Entire home/apt,232,1,12,2024-12-05,0.68,86,302,9,"STR-03956L, 626263"
900713666819187681,Country House at Beach,86024687,Karin Marie,,Pacific Beach,32.81021,-117.2424,Private room,80,31,0,,,4,364,0,
900817928207615107,Cozy Home In The Heart Sunny San Diego / SDSU area,489743014,Michael,,Rolando,32.7677739,-117.0497427,Entire home/apt,295,1,24,2024-10-20,1.35,1,362,18,"STR-08363L, 646031"
900924719663857505,Le Bleu At Fox Canyon,168432313,Jackie,,City Heights East,32.741648245853966,-117.08774436400998,Entire home/apt,205,2,38,2024-11-30,2.03,2,81,23,"STR-07142L, 648262"
901394520638403652,Stylish Downtown SD Condo W/Garage Parking Incd.,15887318,Arturo,,East Village,32.71052200674658,-117.15474859886807,Entire home/apt,,31,4,2024-09-13,0.29,1,127,3,
901689998530879319,3 bed house at the beach w/ yard,9636343,Danyelle,,Mission Bay,32.792982891267165,-117.23140262067318,Entire home/apt,475,31,0,,,7,180,0,"STR-08178L, 649381"
902093690109182384,Classic charming craftsman.,13319347,Jennifer,,Midtown,32.73836,-117.17315,Entire home/apt,200,31,0,,,1,364,0,
902259131378961236,Private Studio with Private bathroom,252666710,Christine,,Encanto,32.71678002260671,-117.05596755163664,Entire home/apt,,30,34,2024-10-10,1.79,2,21,23,"STR-06195L, 647203"
902296443278625019,Charming studio in SD Downtown,84808340,Alok,,Marina,32.71097280000001,-117.1631011,Entire home/apt,102,31,8,2024-10-24,0.51,7,281,7,
902365653601850903,"2Bdrm, 30 Sec to Beach w/Parking",385278574,Mike,,Mission Bay,32.77451063233979,-117.25266994514891,Entire home/apt,277,3,54,2024-12-09,3.12,3,166,44,"STR-08455L, 519367"
902926793725815743,Charming Victorian Private Bedroom,360950656,Roni,,East Village,32.70243,-117.14768,Private room,63,31,0,,,3,89,0,
903081729623908474,"CASA Descanzo- peaceful
private room in 3BR home",135737739,Alex,,Southwest,32.61197,-117.0483,Private room,42,30,1,2024-12-14,1,1,269,1,
903124319497126365,"Urban Oasis - Prime Location, Panoramic Cityscapes",517430832,Chad,,Marina,32.71186252039395,-117.1636490738065,Entire home/apt,104,31,2,2024-02-29,0.15,1,364,1,"STR-08039L, 44370"
903168760919891908,Ocean Beach! 2nd Floor of House,386146776,Kelly,,Ocean Beach,32.741872208678444,-117.25043049095089,Entire home/apt,236,1,18,2024-09-02,1.00,2,22,10,"STR-07496L, 631172"
903209312170339491,Ocean Beach Cottage,2772383,San Diego,,Loma Portal,32.75027,-117.24113,Entire home/apt,659,3,3,2024-03-23,0.17,69,90,1,"STR-05023L, 620721"
903236503512944751,NewDolphin Bay Hideaway: 2bd/1ba with shared yard!,37353287,Nancys,,Bay Park,32.77968,-117.20378,Entire home/apt,203,1,17,2024-09-30,0.95,60,341,7,"STR-02443L, 633986"
903239502115674097,Ocean Beach Casita,2772383,San Diego,,Loma Portal,32.75027,-117.24113,Entire home/apt,211,3,4,2024-04-07,0.21,69,90,1,"STR-04657L, 620721"
903450557109025255,Charming Victorian Home,360950656,Roni,,East Village,32.70226768121637,-117.14767578373569,Entire home/apt,,31,0,,,3,76,0,
903457487170169030,Little Italy high floor modern condo,22651466,John,,Little Italy,32.72225098522844,-117.16706317466961,Entire home/apt,145,31,0,,,1,269,0,
903512331598598991,New Private Room w/Shared Bath Mira Mesa #2,234893241,Minji,,Mira Mesa,32.907284222597475,-117.15192745775218,Private room,39,1,35,2024-10-31,1.87,16,144,12,"STR-08204L, 649304"
903518312133372167,"Luxury Home with Pool/Spa/Sauna,Steps to the Beach",82919172,Nxt,,La Jolla,32.85247028024617,-117.2506291074791,Entire home/apt,3623,7,0,,,91,62,0,"STR-08188L, 640670"
903524566979113199,Novel Chic Private Room w/Shared Bath Mira Mesa #3,234893241,Minji,,Mira Mesa,32.90899834527494,-117.15301552983185,Private room,44,1,42,2024-11-19,2.24,16,229,19,"STR-08204L, 649304"
903534629339426525,Spacious Private Room w/SharedBath #4,234893241,Minji,,Mira Mesa,32.90708,-117.15135,Private room,40,1,40,2024-12-06,2.15,16,176,21,"STR-08204L, 649304"
903541355142435030,Stylish Private Room w/SharedBath Mira Mesa #5,234893241,Minji,,Mira Mesa,32.90766926435514,-117.1513859798212,Private room,59,1,21,2024-11-30,1.13,16,229,10,"STR-08204L, 649304"
903584883153094186,Diamond in the Village: Amazing location!,113421970,La Jolla,,La Jolla,32.843056,-117.275693,Entire home/apt,164,2,22,2024-10-01,1.16,83,303,7,"STR-08213L, 606942"
903584904893083005,New lower rates. Sea and Palms 2 condo-ocean views,113421970,La Jolla,,La Jolla,32.82921,-117.27612,Entire home/apt,387,1,14,2024-10-20,0.80,83,308,11,"STR-02444L, 621184"
